doc_id,selection_type,dominant_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,file_path
179,extreme_t7,7,3.855302333163041e-6,5.186297362862545e-6,1.8903514927378863e-6,8.68765333555454e-6,1.8154636428780772e-4,3.4059033636724584e-5,0.9997640232100604,7.517874904500883e-7,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1124766.pdf
180,extreme_t7,7,6.4838187377021685e-6,8.52424862502465e-6,3.320385855253612e-6,1.4756011480128348e-5,3.102681420259682e-4,5.863699176435395e-5,0.9995968025145092,1.2078870019926338e-6,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1124771.pdf
657,extreme_t8,8,2.4805650121426906e-4,8.850491739587597e-4,3.737836188800419e-4,8.108531226895852e-5,1.5661840985003653e-4,3.77885046976e-4,1.9474156960723107e-6,0.9978755745211558,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1135691.pdf
659,extreme_t8,8,2.4805650121426906e-4,8.850491739587597e-4,3.737836188800419e-4,8.108531226895852e-5,1.5661840985003653e-4,3.77885046976e-4,1.9474156960723107e-6,0.9978755745211558,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1135701.pdf
249,prototypical_t1,1,0.5388597550706525,5.904556965273407e-5,0.02848828610757139,0.4275896933412162,4.5474716428310153e-4,0.00391104139375392,5.72819233683718e-6,6.317031605333391e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1126546.pdf
248,prototypical_t1,1,0.5390389517017459,3.4728339517088363e-4,0.20826241751892052,0.2388562890931127,5.430882661629869e-4,0.00114916965283238,4.944503416611335e-6,0.01179785586863849,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1126526.pdf
968,prototypical_t2,2,3.6389613518391486e-5,0.9987213353013962,1.196039281949001e-4,7.1477782284987955e-6,7.0981581744631e-4,3.3584639602096884e-4,1.6654835755517628e-5,5.32063294400382e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1152466.pdf
773,prototypical_t2,2,4.167207558778969e-5,0.998904878330814,1.4881025549412093e-4,7.76666082451101e-6,4.85123943084332e-4,3.403131875025113e-4,1.3651933732789242e-5,5.778361295903875e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1139846.pdf
857,prototypical_t3,3,0.01040374298144425,7.418222661187747e-4,0.9458646285016948,0.00751234338785893,4.208450511472273e-4,0.00317912988008985,2.8440026396839437e-6,0.0318746439290065,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1146666.pdf
1025,prototypical_t3,3,0.02737108953010775,0.00677421758293885,0.9463658223286932,0.00891604906986356,0.00822878198347215,0.0011061629266383,4.037996327488498e-5,0.00119749661501105,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1154506.pdf
512,prototypical_t4,4,0.29217978455798427,2.0308959561816035e-5,0.0025042876127053,0.7009989234094075,0.00349539140225596,4.416518415861114e-4,2.7170413801827004e-5,3.324818026971812e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1131411.pdf
715,prototypical_t4,4,0.220280976963028,2.9287957492742796e-5,0.0039829024968941,0.7005883104410073,0.00133225534218865,0.07337517685716623,2.12399373277824e-5,3.8985000489489657e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1137661.pdf
