doc_id,dominant_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
71,4,0.32502251650360553,2.146416565187276e-4,0.07682901712040717,0.5714201530001883,0.00435602488168664,0.016482571946527573,3.7115426100603335e-5,0.005637959464965626
72,5,7.564919763843283e-4,0.0010761208283626205,9.891821243682214e-4,0.0026635125419633863,0.832447276372771,0.1603632728289057,0.0012089256640633237,4.952176631809707e-4
73,4,0.24451424177076453,3.5811986665673407e-4,0.22196650933565704,0.3268553535663777,9.825139713149245e-4,0.027428634202742,1.007306757048258e-5,0.1778845542189167
74,4,0.1873554866283689,6.629601797782483e-5,0.36387005787449717,0.44682395753322657,4.1835207884072744e-4,7.95930247621517e-4,3.027452915936463e-6,6.66892166551697e-4
75,4,0.00742255561556273,3.1696959510101687e-4,0.23026286664580262,0.577489374666034,0.1722072023543725,0.011412265971455032,1.7074094480884697e-4,7.180242068635487e-4
76,5,6.330511954537183e-4,7.843678165881841e-4,6.360224876225349e-4,0.0022105670103900283,0.9907596849712716,0.0033188892008291938,0.0014423316024652958,2.1508571537982862e-4
77,1,0.4083534403015195,0.0010250173466217769,0.26174881478487744,0.1451698054388537,0.0047870352195036785,0.001469632318764524,2.7432172746912543e-5,0.17741882241711265
78,7,3.5848507551526637e-4,6.169285778429946e-4,2.6875408590438697e-4,0.001191263221498286,0.4431029764981197,0.003161368600781712,0.5511845198174807,1.1570412285782789e-4
79,7,1.6586406696220768e-5,1.8964598201580678e-5,8.635534924260158e-6,3.681336260253098e-5,5.711861781237159e-4,1.2692168138776425e-4,0.9992180397488806,2.8524891829825973e-6
80,4,0.3620785377315796,0.002464182395722048,0.11277498690281394,0.41905826350603353,0.01905889491379952,0.08321624543599307,7.769171357163154e-5,0.0012711974004866434
81,7,3.2077630148493635e-4,5.557821542761699e-4,2.3127068177174025e-4,0.0010052318564436119,0.24809845258751895,0.0025219688226048947,0.7471716370450896,9.488055080970762e-5
82,7,3.3135443092865296e-4,6.248534303708657e-4,2.52452770238749e-4,0.0010841309690316982,0.4331463460286767,0.003921034629103225,0.5605254796173603,1.1434812429047034e-4
83,7,2.871104923519774e-4,4.982782862967695e-4,2.0752817847763535e-4,9.017260223843244e-4,0.2141879971848769,0.0022738487368401156,0.7815580231336672,8.548796510541651e-5
84,4,0.3694606459200981,2.72993412221176e-4,0.11038772606037223,0.46325571176870234,0.05229574200059844,0.0026087729499604754,1.1449984743364476e-4,0.001603908040613276
85,5,5.60635855478407e-4,7.54141641690417e-4,5.800813328642483e-4,0.0020651427757029757,0.9906861817531112,0.0036943810328498128,0.0014583731198911742,2.0106248841099728e-4
86,1,0.5070918506079394,2.3112941949478583e-4,0.26561632632384885,0.22050297391323978,6.538391257577134e-4,0.0039556238289932865,6.29366131540739e-6,0.0019419631194110857
87,4,0.028430541377345034,2.9336263860129165e-5,0.11715398424119448,0.839674597078437,0.0014947780914958634,0.012685872799041336,1.2790530089269406e-5,5.180996185364308e-4
88,5,4.685377922304801e-4,6.696796546973979e-4,4.927718065866358e-4,0.0017462543153508358,0.9914006838532486,0.0037351415757156774,0.0013084561850465696,1.7847481712375676e-4
89,5,6.806657761415414e-4,9.956169040057073e-4,8.386880878285394e-4,0.002363009520093607,0.9363883490827258,0.057013141766501095,0.0013643736299397916,3.5615523276365653e-4
90,4,0.07248352892215021,3.2708814373121786e-4,0.09512892480460983,0.6986292994823401,0.004912366536985965,0.09415604520251437,0.012786261598342619,0.02157648530932597
91,7,2.983958284758547e-4,5.101062420319516e-4,2.135031758742894e-4,9.097053864480283e-4,0.1828253843684096,0.0025136466712250773,0.8126426754671264,8.658286040807193e-5
92,5,5.662139287482066e-4,7.787467059582195e-4,6.130705208984675e-4,0.001985044413160226,0.9842025112886496,0.010361607863971311,0.0012556594632858345,2.3714581532862457e-4
93,4,0.3269119131338935,1.7533101578500623e-4,0.03199764840421949,0.5067424562707862,0.011601313988501697,0.12173801389499472,6.447864534480204e-5,7.688446464747812e-4
94,5,8.270493958824135e-4,0.0012922850927646644,0.0010753569952925807,0.002458814219292572,0.8951544460419941,0.09672481820658806,0.0014460657242730292,0.0010211643239126174
95,4,0.19989258262904913,1.7874322321559272e-4,0.2437751294013449,0.47436308821655904,9.313635168492183e-4,0.002809264921474717,7.220137539390457e-6,0.07804260795396792
96,1,0.6431969644338572,1.116442883276852e-4,0.02882091005352295,0.25431308986370277,4.5490905808461663e-4,0.07239816453624874,7.613309083864205e-6,6.967044571722455e-4
97,7,3.0703936701319186e-4,5.308041891456947e-4,2.2377676451392167e-4,9.634327649863146e-4,0.22418440826011177,0.0025203469106853723,0.7711784970951715,9.169464837215727e-5
98,4,0.1929191454481495,5.745795281792627e-4,0.13868427305206713,0.6037665069542756,0.014260969706012804,0.04868494777319216,6.822037263228331e-5,0.001041357165491471
99,5,6.808107958490412e-4,0.0010103160373562002,8.425572388158555e-4,0.002247461699550725,0.7403226924507629,0.2532137800925918,0.001255336000455075,4.2704568461882076e-4
100,1,0.5529703999994903,4.5148073151346636e-5,0.01770203194634532,0.42513257263668197,4.4501489551665235e-4,0.0032712843550091243,5.864989732589366e-6,4.2768310407263483e-4
101,7,2.8495333645636625e-4,4.944684170977293e-4,2.058215654744415e-4,8.942228625551815e-4,0.2112425513530453,0.0022604231277128643,0.7845327559006529,8.480343700508485e-5
102,4,0.006106245023330936,1.0544397797617604e-5,0.011677556878574932,0.8638418771937502,0.004443565548841279,0.11356991597855547,3.817850716896884e-5,3.12116471981416e-4
103,4,0.011358865262584008,4.3432440748889846e-5,0.25836239741866995,0.7119734046398295,0.0031147806861803224,0.014609864940721152,2.1316495018774473e-5,5.159381162474206e-4
104,1,0.45094399377990846,2.3740080869866752e-4,0.0020022273552327886,0.4301259303233297,0.036886764983558515,0.023502088344626595,0.05578793287621152,5.13661528433598e-4
105,4,0.20170896586475928,1.1732674638870074e-4,0.1265457865750209,0.6085012873064793,0.0010840175982748683,0.060724320832751706,1.3161298298319488e-5,0.0013051337780265392
106,1,0.4951183221470641,0.0036753233075503397,0.15653478409023686,0.23296140232898244,0.010650807082060782,0.10004968599113369,5.529249129955883e-5,9.543825616724108e-4
107,7,3.26566014018467e-4,5.494242442383073e-4,2.370496071357161e-4,0.0010045011076077871,0.19470167814680941,0.0026653700298355804,0.8004203737795402,9.503707081505439e-5
108,7,2.610624055876211e-4,4.3918578951114513e-4,1.8374192594286436e-4,7.770816539033041e-4,0.13207839528263515,0.0022104638717164444,0.8639761923855813,7.387668512170848e-5
109,4,0.2710062041423651,3.2606094388803835e-4,0.09052010519767259,0.5796357134373428,0.003503279482572355,0.04678555198258468,2.960564631628131e-5,0.008193479167258507
110,1,0.43158879899390945,2.8116497434107e-4,0.05762119164037432,0.3558890760861939,0.025443389617449397,0.001394195228849783,0.12687106280743063,9.111206514513551e-4
111,4,0.11402042069246913,1.8362979537053946e-4,0.08661351377360606,0.7334275115494043,0.00497056014939186,0.05990477558552406,4.5577283719176334e-5,8.340111705148081e-4
112,5,5.368276782648187e-4,7.226384487245518e-4,5.607230787366598e-4,0.0019915723099473634,0.9907976415286963,0.0037759576724710987,0.0014192382342630401,1.9540104889538562e-4
113,4,0.16902380802933584,2.198671563763654e-4,0.3463174284879065,0.42789079532155816,0.001137160262894513,0.0053813757457195875,8.909604786168759e-6,0.05002065539142305
114,1,0.4805745931948856,0.003825259616216169,0.0822865718902588,0.2826929474408434,0.14577059490169714,0.0012615039832284151,0.0023241789759250227,0.0012643499969459116
115,8,0.0018117971523247617,3.8138893607791763e-4,0.10419851679582381,0.0059188231144880815,9.751283995662938e-4,0.23743258920393187,1.066529988730632e-5,0.6492710910979
116,3,0.0917748904099593,3.7014298592168274e-4,0.6852862357791994,0.20473054962951656,0.0013397908629314943,0.01347741724567676,1.1683443944853164e-5,0.0030092896428495796
117,5,5.840875251115329e-4,9.328653321920731e-4,7.435453306854756e-4,0.0020771851031147074,0.9211446491983201,0.07285061920197267,0.001336292708551333,3.307556000527194e-4
118,7,3.3033704383984906e-4,5.60214127151215e-4,2.377626425411556e-4,0.001007951720097234,0.2019432920290556,0.002755174151889718,0.7930693274099901,9.594087543487392e-5
119,7,1.4905690702291918e-5,1.7036339805817203e-5,7.642468799812567e-6,3.299884305613244e-5,5.289050456844128e-4,1.1145744193053596e-4,0.9992845332396969,2.520930323931886e-6
120,4,0.10655367513580173,9.41530655336697e-5,0.4227183785273646,0.464618586922375,0.0010372254732157304,0.004243071095396741,7.828319288208959e-6,7.270814610237973e-4
121,6,4.0898683362204234e-4,2.7727013997028404e-4,6.176089243733178e-4,7.333594897441881e-4,0.0026983943745476926,0.9950059207081158,5.801415127284715e-5,2.0044537835411862e-4
122,7,2.6091342603531487e-4,4.6787011724611625e-4,1.8556019930224686e-4,8.277702826832741e-4,0.23433227634002993,0.001942985844406316,0.7619047555943919,7.786819590547455e-5
123,4,0.007978973457698935,1.6202967011892638e-5,0.032457565632079494,0.9352256452722713,0.00808979277324687,0.015924444418369366,4.628770141324355e-5,2.610877779087962e-4
124,5,4.2673515624011825e-4,6.509574222336794e-4,4.297465134382478e-4,0.0015758505417920027,0.9913924847754864,0.0030841185616737265,0.0022809652786197746,1.5914175051693155e-4
125,4,0.18927513601794238,0.004393545457138008,0.12091285547460699,0.5488265404722579,0.07470060265987294,0.049448014229168516,2.0435728842291433e-4,0.012238948400590175
126,1,0.7018810755713143,1.4332102372099193e-4,0.11993015552975607,0.17595595772067357,6.674281366222518e-4,5.183588831357287e-4,5.5030119484953874e-6,8.982001228290961e-4
127,4,0.2521763982793763,1.7100978021116202e-4,0.0014303113859504483,0.5974465647150409,0.040443065742047514,0.05572287378111331,0.052070838655622766,5.389376606378e-4
128,7,2.822124737383898e-4,4.6937223786091604e-4,1.937378675694482e-4,8.519945069510014e-4,0.1782875705406884,0.0020684046935066404,0.817767589047328,7.911863235804474e-5
129,1,0.6060867042726477,9.017535572304477e-5,0.07810548788447878,0.3105573604317673,3.6846694848897456e-4,0.0033520234481778702,4.073333574559587e-6,0.001435708325142019
130,4,0.2763708248387542,8.781300400425149e-5,0.0012612368108614273,0.591486866134023,0.03534706944268207,0.0030719237074774025,0.0920179119913771,3.5635407082081457e-4
131,4,0.10975558688755153,1.1062274279518641e-5,0.011071845458014944,0.8762844242165546,5.760418155726783e-4,0.001456522056967346,5.832804488014657e-6,8.386844865718395e-4
132,5,5.103462267540997e-4,7.053536774869188e-4,5.220446799623095e-4,0.0018766985382939513,0.9915769301190921,0.0032360722118976283,0.0013884143749789402,1.8414017153346005e-4
133,1,0.827747676950465,0.006631906126620979,0.11956975662280334,0.027830299079685632,0.0017634241698093027,0.001916419463583504,1.7297451654228405e-5,0.014523220135378174
134,1,0.9621278037532514,4.89547314449361e-4,0.00715733028123888,0.020549107903348313,4.860158278913971e-4,0.0012867610471488677,6.997341480947394e-6,0.007896436531190551
135,6,1.8937704826147545e-4,1.420072434708899e-4,3.109415395673949e-4,3.1020223791883674e-4,7.206396322200043e-4,0.9982000446320103,1.8889964256249085e-5,1.0789770229575424e-4
136,4,0.04212789961398101,1.5677975193469489e-4,0.2837169041904892,0.5661359329327533,0.003683746793624034,0.10309972322109859,3.398194703744696e-5,0.0010450315490819727
